epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
113,1612.69,2.00401,1.45201,1.30581,0.5263,0.7516,0.61557,0.2906,1.73156,1.29388,1.23534,0.004456,0.004456,0.004456
114,1627.59,1.76385,1.48517,1.19597,0.55878,0.76359,0.62373,0.27424,1.70961,1.28573,1.22563,0.0044065,0.0044065,0.0044065
115,1642.21,1.89852,1.47672,1.26993,0.54641,0.75,0.6069,0.27852,1.72711,1.33231,1.23002,0.004357,0.004357,0.004357
116,1656.31,1.9207,1.42615,1.21772,0.50421,0.69118,0.61626,0.27063,1.73854,1.35931,1.23262,0.0043075,0.0043075,0.0043075
117,1669.54,2.04587,1.42198,1.22876,0.55307,0.67337,0.60144,0.28247,1.70369,1.34652,1.21825,0.004258,0.004258,0.004258
118,1683.44,1.88985,1.42355,1.21912,0.53145,0.70588,0.62046,0.26455,1.69495,1.28468,1.22378,0.0042085,0.0042085,0.0042085
119,1697.55,1.9262,1.36462,1.24947,0.58634,0.72059,0.68727,0.26356,1.70518,1.29404,1.23262,0.004159,0.004159,0.004159
120,1711.55,1.91735,1.56126,1.21317,0.60429,0.60638,0.61345,0.23985,1.76162,1.34238,1.25469,0.0041095,0.0041095,0.0041095
121,1725.7,1.87035,1.47383,1.31575,0.54764,0.64096,0.57543,0.2128,1.83552,1.40681,1.28077,0.00406,0.00406,0.00406
122,1739.93,1.82845,1.44332,1.2693,0.55526,0.58755,0.59186,0.2128,1.81952,1.44696,1.28025,0.0040105,0.0040105,0.0040105
123,1753.99,1.80071,1.48161,1.28781,0.59374,0.58824,0.61794,0.23941,1.73299,1.41891,1.25077,0.003961,0.003961,0.003961
124,1768.16,2.00481,1.7378,1.28805,0.59891,0.61765,0.65571,0.25816,1.62743,1.39447,1.22144,0.0039115,0.0039115,0.0039115
125,1782.73,1.90153,1.45639,1.26379,0.61808,0.67647,0.67309,0.26522,1.64709,1.39107,1.22343,0.003862,0.003862,0.003862
126,1797.95,1.87215,1.55405,1.29517,0.56886,0.69118,0.6648,0.25867,1.63549,1.37463,1.21473,0.0038125,0.0038125,0.0038125
127,1813.04,1.87907,1.44615,1.21901,0.55864,0.74459,0.65275,0.254,1.61501,1.3355,1.20366,0.003763,0.003763,0.003763
128,1828.22,1.76642,1.4452,1.2286,0.53439,0.75,0.65447,0.25029,1.65132,1.29668,1.20892,0.0037135,0.0037135,0.0037135
129,1843.66,1.91614,1.45527,1.24467,0.54063,0.72695,0.62868,0.22575,1.70573,1.2885,1.2199,0.003664,0.003664,0.003664
130,1857.25,1.95521,1.48635,1.19912,0.53622,0.63235,0.63145,0.22468,1.73975,1.30758,1.22772,0.0036145,0.0036145,0.0036145
131,1871.33,1.86378,1.34081,1.20229,0.51477,0.65528,0.65452,0.25509,1.71639,1.29285,1.21867,0.003565,0.003565,0.003565
132,1885.47,1.75965,1.51288,1.23197,0.55947,0.74708,0.67407,0.28137,1.66759,1.2575,1.20231,0.0035155,0.0035155,0.0035155
133,1899.54,1.70851,1.39022,1.15308,0.60598,0.75,0.69442,0.30479,1.61116,1.24816,1.19017,0.003466,0.003466,0.003466
134,1913.66,1.78158,1.3514,1.19746,0.58434,0.69118,0.64437,0.30368,1.61243,1.28138,1.19496,0.0034165,0.0034165,0.0034165
135,1927.84,1.67864,1.35863,1.17818,0.54168,0.67647,0.62251,0.28998,1.63995,1.33857,1.20464,0.003367,0.003367,0.003367
136,1941.95,1.83115,1.52549,1.19349,0.53189,0.69118,0.62668,0.29413,1.67161,1.3674,1.21971,0.0033175,0.0033175,0.0033175
137,1955.95,1.74628,1.42266,1.23465,0.48968,0.75,0.62252,0.27654,1.68676,1.35967,1.22889,0.003268,0.003268,0.003268
138,1970.03,1.79795,1.4336,1.22354,0.4641,0.73868,0.60253,0.26958,1.686,1.34996,1.22747,0.0032185,0.0032185,0.0032185
